"level","region_number","region_label","location_number","location_label"
2,75,"Athens-Westmont",352,"Unincorporated - Athens-Westmont"
2,76,"Inglewood",353,"Inglewood"
2,77,"Culver City",354,"Culver City"
2,77,"Culver City",355,"Unincorporated - Ladera Heights"
2,77,"Culver City",356,"Unincorporated - View Park/Windsor Hills"
2,78,"Santa Monica",357,"Santa Monica"
2,79,"Beverly Hills",358,"Beverly Hills"
2,80,"San Pedro",359,"Los Angeles - San Pedro"
2,80,"San Pedro",360,"Unincorporated - La Rambla"
2,81,"Wilmington",361,"Los Angeles - Wilmington"
2,82,"Harbor City",362,"Los Angeles - Harbor City"
2,82,"Harbor City",363,"Los Angeles - Harbor Pines"
2,83,"Harbor Gateway",364,"Los Angeles - Harbor Gateway"
2,83,"Harbor Gateway",365,"Unincorporated - Harbor Gateway"
2,84,"CenturyPalms/Cove",366,"Los Angeles - Century Palms/Cove"
2,84,"CenturyPalms/Cove",367,"Los Angeles - Figueroa Park Square"
2,85,"Watts",368,"Los Angeles - Watts"
2,86,"Vermont Vista",369,"Los Angeles - Green Meadows"
2,86,"Vermont Vista",370,"Los Angeles - Vermont Vista"
2,87,"Florence-Firestone",371,"Los Angeles - Florence-Firestone"
2,88,"Vermont Knolls",372,"Los Angeles - Gramercy Place"
2,88,"Vermont Knolls",373,"Los Angeles - Manchester Square"
2,88,"Vermont Knolls",374,"Los Angeles - Vermont Knolls"
2,89,"Harvard Park",375,"Los Angeles - Harvard Park"
2,90,"Hyde Park",376,"Los Angeles - Hyde Park"
2,90,"Hyde Park",377,"Los Angeles - View Heights"
2,91,"Westchester",378,"Los Angeles - Westchester"
2,92,"Playa Vista",379,"Los Angeles - Playa Vista"
2,92,"Playa Vista",380,"Los Angeles - Marina Peninsula"
2,92,"Playa Vista",381,"Los Angeles - Playa Del Rey"
2,92,"Playa Vista",382,"Unincorporated - Del Rey"
2,92,"Playa Vista",383,"Unincorporated - Marina del Rey"
2,93,"Del Rey",384,"Los Angeles - Del Rey"
2,94,"Venice",385,"Los Angeles - Venice"
2,95,"Mar Vista",386,"Los Angeles - Mar Vista"
2,96,"Palms",387,"Los Angeles - Palms"
2,97,"Century City",388,"Los Angeles - Century City"
2,97,"Century City",389,"Los Angeles - Cheviot Hills"
2,97,"Century City",390,"Los Angeles - Rancho Park"
2,98,"Beverlywood",391,"Los Angeles - Beverlywood"
2,98,"Beverlywood",392,"Los Angeles - Cadillac-Corning"
2,98,"Beverlywood",393,"Los Angeles - Regent Square"
2,98,"Beverlywood",394,"Los Angeles - Reynier Village"
2,99,"Crestview",395,"Los Angeles - Crestview"
2,99,"Crestview",396,"Los Angeles - Faircrest Heights"
2,99,"Crestview",397,"Los Angeles - South Carthay"
2,100,"Park La Brea",398,"Los Angeles - Carthay"
2,100,"Park La Brea",399,"Los Angeles - Park La Brea"
2,100,"Park La Brea",400,"Unincorporated - Miracle Mile"
2,101,"Miracle Mile",401,"Los Angeles - Brookside"
2,101,"Miracle Mile",402,"Los Angeles - Mid-city"
2,101,"Miracle Mile",403,"Los Angeles - Miracle Mile"
2,101,"Miracle Mile",404,"Los Angeles - Sycamore Square"
2,102,"Cloverdale/Cochran",405,"Los Angeles - Cloverdale/Cochran"
2,102,"Cloverdale/Cochran",406,"Los Angeles - Lafayette Square"
2,102,"Cloverdale/Cochran",407,"Los Angeles - Longwood"
2,102,"Cloverdale/Cochran",408,"Los Angeles - St Elmo Village"
2,103,"CrenshawDistrict",409,"Los Angeles - Alsace"
2,103,"CrenshawDistrict",410,"Los Angeles - Crenshaw District"
2,103,"CrenshawDistrict",411,"Los Angeles - Exposition"
2,104,"Baldwin Hills",412,"Los Angeles - Baldwin Hills"
2,105,"Leimert Park",413,"Los Angeles - Jefferson Park"
2,105,"Leimert Park",414,"Los Angeles - Leimert Park"
2,105,"Leimert Park",415,"Los Angeles - Wellington Square"
2,106,"West Vernon",416,"Los Angeles - Vermont Square"
2,106,"West Vernon",417,"Los Angeles - West Vernon"
2,107,"Exposition Park",418,"Los Angeles - Exposition Park"
2,108,"South Park",419,"Los Angeles - South Park"
2,109,"Vernon Central",420,"Los Angeles - Vernon Central"
2,110,"Central",421,"Los Angeles - Central"
2,111,"WholesaleDistrict",422,"Los Angeles - Wholesale District"
2,112,"Boyle Heights",423,"Los Angeles - Boyle Heights"
2,113,"Lincoln Heights",424,"Los Angeles - Lincoln Heights"
2,114,"El Sereno",425,"Los Angeles - El Sereno"
2,114,"El Sereno",426,"Los Angeles - University Hills"
2,115,"Highland Park",427,"Los Angeles - Highland Park"
2,116,"Eagle Rock",428,"Los Angeles - Eagle Rock"
2,117,"Glassell Park",429,"Los Angeles - Glassell Park"
2,118,"Mt. Washington",430,"Los Angeles - Elysian Valley"
2,118,"Mt. Washington",431,"Los Angeles - Mt. Washington"
2,119,"Echo Park",432,"Los Angeles - Angelino Heights"
2,119,"Echo Park",433,"Los Angeles - Chinatown"
2,119,"Echo Park",434,"Los Angeles - Echo Park"
2,119,"Echo Park",435,"Los Angeles - Elysian Park"
2,120,"Downtown",436,"Los Angeles - Downtown"
2,120,"Downtown",437,"Los Angeles - Little Tokyo"
2,121,"University Park",438,"Los Angeles - Adams-Normandie"
2,121,"University Park",439,"Los Angeles - University Park"
2,122,"West Adams",440,"Los Angeles - West Adams"
2,123,"Harvard Heights",441,"Los Angeles - Harvard Heights"
2,123,"Harvard Heights",442,"Los Angeles - Victoria Park"
2,124,"Pico-Union",443,"Los Angeles - Pico-Union"
2,125,"Westlake",444,"Los Angeles - Westlake"
2,126,"Wilshire Center",445,"Los Angeles - Wilshire Center"
2,127,"LittleBangladesh",446,"Los Angeles - Little Bangladesh"
2,128,"Koreatown",447,"Los Angeles - Koreatown"
2,129,"Hancock Park",448,"Los Angeles - Country Club Park"
2,129,"Hancock Park",449,"Los Angeles - Hancock Park"
2,130,"Melrose",450,"Los Angeles - Melrose"
2,131,"East Hollywood",451,"Los Angeles - East Hollywood"
2,132,"Silverlake",452,"Los Angeles - Silverlake"
2,133,"Temple-Beaudry",453,"Los Angeles - Historic Filipinotown"
2,133,"Temple-Beaudry",454,"Los Angeles - Temple-Beaudry"
2,134,"Los Feliz",455,"Los Angeles - Atwater Village"
2,134,"Los Feliz",456,"Los Angeles - Little Armenia"
2,134,"Los Feliz",457,"Los Angeles - Los Feliz"
2,134,"Los Feliz",458,"Los Angeles - Thai Town"
2,135,"Hollywood",459,"Los Angeles - Hollywood"
2,136,"Hollywood Hills",460,"Los Angeles - Hollywood Hills"
2,137,"Studio City",461,"Los Angeles - Studio City"
2,137,"Studio City",462,"Los Angeles - Toluca Lake"
2,137,"Studio City",463,"Los Angeles - Toluca Terrace"
2,137,"Studio City",464,"Los Angeles - Toluca Woods"
2,137,"Studio City",465,"Unincorporated - Universal City"
2,138,"Valley Glen",466,"Los Angeles - Valley Glen"
2,138,"Valley Glen",467,"Los Angeles - Valley Village"
2,139,"North Hollywood",468,"Los Angeles - North Hollywood"
2,140,"Sun Valley",469,"Los Angeles - Sun Valley"
2,141,"Tujunga",470,"Los Angeles - Angeles National Forest"
2,141,"Tujunga",471,"Los Angeles - Tujunga"
2,142,"Sunland",472,"Los Angeles - Lakeview Terrace"
2,142,"Sunland",473,"Los Angeles - Shadow Hills"
2,142,"Sunland",474,"Los Angeles - Sunland"
2,143,"Pacoima",475,"Los Angeles - Pacoima"
2,144,"San Fernando",476,"Los Angeles - Mission Hills"
2,144,"San Fernando",477,"San Fernando"
2,145,"Sylmar",478,"Los Angeles - Sylmar"
2,146,"Granada Hills",479,"Los Angeles - Granada Hills"
2,147,"North Hills",480,"Los Angeles - North Hills"
2,148,"Panorama City",481,"Los Angeles - Panorama City"
2,149,"Arleta",482,"Los Angeles - Arleta"
2,150,"Van Nuys",483,"Los Angeles - Van Nuys"
2,151,"Sherman Oaks",484,"Los Angeles - Sherman Oaks"
2,152,"Brentwood",485,"Los Angeles - Bel Air"
2,152,"Brentwood",486,"Los Angeles - Beverly Crest"
